[13:26:11:251 debug] MultiThreadedWebCrawler.java@80 main: Minion created for http://cs.usfca.edu/~cs212/gutenberg/gutenberg.html
[13:26:11:255 debug] WorkQueue.java@68 main: Incremented pending to 0
[13:26:11:256 debug] WorkQueue.java@174 main: Pending is now 1
[13:26:11:256 debug] WorkQueue.java@82 main: Waiting until finished
[13:26:11:273 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/11.htm
[13:26:11:274 debug] WorkQueue.java@68 Thread-5: Incremented pending to 1
[13:26:11:274 debug] WorkQueue.java@174 Thread-5: Pending is now 2
[13:26:11:274 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/98.htm
[13:26:11:274 debug] WorkQueue.java@68 Thread-5: Incremented pending to 2
[13:26:11:275 debug] WorkQueue.java@174 Thread-5: Pending is now 3
[13:26:11:275 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/1228.htm
[13:26:11:275 debug] WorkQueue.java@68 Thread-5: Incremented pending to 3
[13:26:11:275 debug] WorkQueue.java@174 Thread-5: Pending is now 4
[13:26:11:276 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/1322.htm
[13:26:11:276 debug] WorkQueue.java@68 Thread-5: Incremented pending to 4
[13:26:11:276 debug] WorkQueue.java@174 Thread-5: Pending is now 5
[13:26:11:277 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/1342.htm
[13:26:11:277 debug] WorkQueue.java@68 Thread-5: Incremented pending to 5
[13:26:11:277 debug] WorkQueue.java@174 Thread-5: Pending is now 6
[13:26:11:277 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/1661.htm
[13:26:11:278 debug] WorkQueue.java@68 Thread-5: Incremented pending to 6
[13:26:11:278 debug] WorkQueue.java@174 Thread-5: Pending is now 7
[13:26:11:278 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/2701.htm
[13:26:11:278 debug] WorkQueue.java@68 Thread-5: Incremented pending to 7
[13:26:11:278 debug] WorkQueue.java@174 Thread-5: Pending is now 8
[13:26:11:279 debug] MultiThreadedWebCrawler.java@80 Thread-5: Minion created for http://cs.usfca.edu/~cs212/gutenberg/4300.htm
[13:26:11:279 debug] WorkQueue.java@68 Thread-5: Incremented pending to 8
[13:26:11:279 debug] WorkQueue.java@174 Thread-5: Pending is now 9
[13:26:11:283 debug] WorkQueue.java@151 Thread-5: Now pending is 9
[13:26:11:284 debug] WorkQueue.java@183 Thread-5: Pending is now 8
[13:26:11:649 debug] WorkQueue.java@151 Thread-1: Now pending is 8
[13:26:11:650 debug] WorkQueue.java@183 Thread-1: Pending is now 7
[13:26:13:358 debug] WorkQueue.java@151 Thread-1: Now pending is 7
[13:26:13:359 debug] WorkQueue.java@183 Thread-1: Pending is now 6
[13:26:13:376 debug] WorkQueue.java@151 Thread-5: Now pending is 6
[13:26:13:376 debug] WorkQueue.java@183 Thread-5: Pending is now 5
[13:26:13:431 debug] WorkQueue.java@151 Thread-3: Now pending is 5
[13:26:13:431 debug] WorkQueue.java@183 Thread-3: Pending is now 4
[13:26:13:522 debug] WorkQueue.java@151 Thread-2: Now pending is 4
[13:26:13:522 debug] WorkQueue.java@183 Thread-2: Pending is now 3
[13:26:13:528 debug] WorkQueue.java@151 Thread-4: Now pending is 3
[13:26:13:529 debug] WorkQueue.java@183 Thread-4: Pending is now 2
[13:26:15:121 debug] WorkQueue.java@151 Thread-1: Now pending is 2
[13:26:15:121 debug] WorkQueue.java@183 Thread-1: Pending is now 1
[13:26:15:365 debug] WorkQueue.java@151 Thread-5: Now pending is 1
[13:26:15:365 debug] WorkQueue.java@183 Thread-5: Pending is now 0
[13:26:15:848 debug] LoginDatabaseHandler.java@176 main: Tables found.
